29.019,41.494,170.263,133.478,153.953,136.675,144.412,144.598,183.482,319.544,519.284
29.06,40.565,171.442,134.192,155.14,136.675,144.412,145.108,184.884,319.174,526.66
29.113,42.995,172.143,134.192,155.14,137.413,145.2,145.783,185.219,321.243,521.56
29.165,42.9,172.143,134.496,155.609,137.739,145.61,146.081,185.066,321.776,528.631
29.311,39.87,172.027,134.604,155.843,137.934,145.811,146.121,185.794,321.704,520.759
29.361,42.769,173.052,134.975,156.671,137.934,145.811,146.29,186.134,322.428,526.585
29.415,42.54,174.861,134.975,156.671,138.402,146.407,146.853,186.473,323.481,534.194
29.462,44.133,174.861,135.948,158.349,139.376,147.563,147.625,187.872,325.017,525.922
29.612,55.209,182.627,140.845,170.343,143.719,152.762,149.911,190.639,328.946,529.159
29.659,57.221,182.965,141.436,172.099,143.719,152.762,150.144,190.842,327.885,528.526
29.713,57.023,184.23,141.436,172.099,144.247,153.387,150.36,191.228,328.517,528.712
29.764,55.115,184.23,141.103,170.92,143.982,153.053,150.58,191.079,328.942,533.621
29.917,57.926,184.22,141.551,173.033,144.843,154.493,150.726,191.362,330.647,532.643
29.965,61.083,188.021,143.171,179.697,144.843,154.493,151.522,192.718,330.728,533.243
30.013,68.032,194.43,143.171,179.697,146.437,157.425,153.305,194.012,334.108,529.91
30.062,76.187,194.43,143.464,184.548,148.38,160.884,155.994,196.78,337.683,524.034
30.219,79.046,197.669,144.912,187.225,150.615,163.418,157.771,199.162,340.127,525.579
30.259,76.051,196.44,144.781,187.013,150.615,163.418,157.743,198.624,339.417,520.124
30.31,76.792,196.436,144.781,187.013,150.41,163.249,157.584,197.967,339.092,525.842
30.366,79.032,196.436,144.766,187.06,150.527,163.448,157.729,199.163,341.06,521.326
30.517,83.523,200.16,147.191,192.285,154.046,167.413,160.195,201.608,345.88,531.476
30.58,85.229,202.843,148.576,193.724,154.046,167.413,162.196,204.443,347.629,535.216
30.615,86.297,203.813,148.576,193.724,155.631,168.805,164.093,205.426,350.744,537.986
30.661,88.269,203.813,149.484,194.831,156.386,169.475,164.896,205.899,354.119,543.749
30.814,89.691,202.154,150.034,194.018,156.872,170.283,165.159,205.57,353.796,545.921
30.861,86.333,203.436,150.1,194.385,156.872,170.283,165.035,206.377,354.658,545.03
30.915,87.588,205.072,150.1,194.385,157.062,170.524,165.525,206.549,355.341,539.983
30.962,89.87,205.072,150.638,195.851,157.856,171.284,166.998,208.605,356.494,548.462
31.113,92.355,207.395,153.323,199.367,161.197,174.936,169.504,211.726,362.502,554.074
31.159,92.253,208.981,153.882,200.093,161.197,174.936,170.374,212.376,364.413,546.487
31.218,94.421,209.246,153.882,200.093,161.671,175.342,171.182,214.338,366.024,557.953
31.26,92.503,209.246,154.447,200.788,162.421,176.287,171.98,214.508,369.226,561.081
31.416,94.374,211.902,156.354,203.533,164.317,177.883,173.79,218.06,372.309,560.835
31.46,95.835,212.595,156.77,204.119,164.317,177.883,174.669,220.132,372.957,570.943
31.513,97.468,213.251,156.77,204.119,164.805,178.48,175.261,221.012,375.204,565.889
31.563,96.953,213.251,157.082,204.358,165.16,179.015,175.283,220.783,376.272,568.448
31.711,98.272,215.178,157.983,205.122,166.29,180.823,175.696,220.132,377.559,575.441
31.761,99.322,214.24,158.426,206.023,166.29,180.823,176.122,220.998,378.556,568.493
31.817,100.806,216.014,158.426,206.023,166.938,181.583,176.956,221.623,380.02,568.631
31.864,100.176,216.014,158.919,206.542,167.582,182.315,177.48,221.913,381.565,567.467
32.013,99.289,215.991,160.167,207.515,168.621,183.95,178.079,223.031,383.108,575.707
32.06,103.202,216.418,160.506,207.968,168.621,183.95,178.473,224,386.036,580.468
32.113,102.104,216.487,160.506,207.968,168.988,184.248,178.89,224.767,386.892,585.935
32.162,101.446,216.487,160.733,208.471,169.368,184.45,179.414,224.871,386.946,587.355
32.314,102.101,219.869,162.279,210.978,171.351,186.849,180.927,227.967,388.567,592.462
32.361,105.026,219.328,162.916,211.861,171.351,186.849,181.82,228.659,392.772,592.954
32.414,104.926,220.081,162.916,211.861,172.058,187.623,182.641,229.139,395.404,596.224
32.46,107.287,220.081,163.48,212.69,172.67,188.373,183.475,231.275,396.899,592.575
32.612,109.962,223.407,165.162,214.902,174.685,190.761,184.92,234.333,399.153,601.971
32.661,109.017,223.383,165.683,215.575,174.685,190.761,185.523,233.573,402.648,597.181
32.713,109.888,224.081,165.683,215.575,175.123,191.295,186.149,234.896,402.643,604.039
32.762,108.357,224.081,166.184,216.243,175.794,191.994,186.767,236.542,404.35,607.552
32.912,110.571,225.975,167.857,218.752,177.564,194.037,188.209,239.485,408.127,614.791
32.959,111.161,227.135,168.769,218.571,177.564,194.037,188.982,241.144,410.045,618.556
33.018,114,227.094,168.769,218.571,179.183,196.262,188.65,235.947,411.054,623.084
33.06,113.878,227.094,169.453,218.96,178.872,196.402,189,238.685,414.054,615.333
33.212,114.532,229.205,171.117,221.452,181.098,198.812,190.664,241.797,416.21,622.93
33.261,116.386,230.476,172.039,222.232,181.098,198.812,191.601,242.992,419.363,632.04
33.312,118.69,232.094,172.039,222.232,181.968,200.005,192.285,242.985,423.161,637.1
33.367,119.035,232.094,172.945,223.459,182.93,201.266,193.514,246.586,424.287,638.762
33.511,122.877,238.172,176.718,229.206,187.389,206.171,196.996,253.675,434.141,655.646
33.561,128.32,238.9,178.242,231.05,187.389,206.171,199.015,256.074,438.221,649.982
33.615,128.506,240.63,178.242,231.05,189.031,207.894,200.83,261.526,442.199,661.013
33.662,130.781,240.63,179.7,233.289,190.542,209.423,202.991,266.522,446.491,678.43
33.816,134.543,246.209,184.504,240.137,195.346,214.369,207.098,280.232,455.598,689.646
33.86,136.282,248.611,187.255,240.264,195.346,214.369,209.25,286.921,460.842,691.534
33.914,138.097,249.258,187.255,240.264,197.024,215.905,205.463,265.529,465.281,710.494
33.962,142.333,249.258,189.95,242.101,198.324,218.295,208.287,270.345,470.178,708.145
34.115,144.567,253.614,194.652,247.354,204.136,225.587,211.752,277.073,479.044,721.951
34.167,144.839,254.825,196.194,249.876,204.136,225.587,215.916,285.888,483.63,727.004
34.211,145.814,256.748,196.194,249.876,206.689,228.79,220.186,296.543,490.094,731.552
34.264,149.801,256.748,198.297,252.731,207.148,227.286,217.595,286.499,495.155,740.137
34.411,151.594,262.632,203.122,259.008,212.907,235.416,223.486,298.747,504.226,757.505
34.46,152.644,264.474,204.557,261.076,212.907,235.416,224.96,300.21,508.997,758.25
34.518,156.172,265.883,204.557,261.076,214.942,237.75,227.532,305.226,514.744,762.743
34.56,159.118,265.883,206.562,263.714,216.984,240.137,229.68,306.928,522.201,776.067
34.713,164.707,274.362,214.704,272.958,225.375,249.602,236.353,319.477,537.433,812.623
34.784,169.101,275.436,217.134,275.409,225.375,249.602,238.659,323.254,543.638,809.922
34.814,171.85,278.298,217.134,275.409,227.806,252.103,240.622,325.571,549.252,830.094
34.862,176.228,278.298,219.2,277.3,229.937,254.326,242.85,329.357,555.419,840.809
35.012,181.035,286.003,222.89,283.365,236.31,261.011,247.799,336.581,565.259,858.111
35.063,178.742,288.084,223.788,284.5,236.31,261.011,249.14,339.622,570.413,870.407
35.117,182.215,288.128,223.788,284.5,237.565,262.421,250.591,342.302,573.718,867.633
35.159,182.031,288.128,224.872,285.681,238.954,263.998,252.063,344.122,576.377,864.455
35.311,184.307,294.104,228.738,290.619,243.826,269.989,255.858,351.684,582.281,878.212
35.361,187.892,295.092,230.537,293.211,243.826,269.989,258.803,357.252,591.562,896.979
35.411,190.196,295.7,230.537,293.211,246.217,272.582,262.14,365.082,596.018,900.806
35.462,190.199,295.7,232.173,294.685,247.311,273.421,262.106,362.187,598.177,913.683
35.615,191.709,298.975,235.608,298.32,250.727,276.996,264.685,368.11,603.202,905.99
35.659,192.517,301.547,237.101,300.346,250.727,276.996,266.397,370.871,606.552,915.629
35.716,193.754,300.921,237.101,300.346,252.582,279.008,268.313,372.596,613.494,930.529
35.761,198.115,300.921,238.6,302.25,254.367,280.765,270.591,377.004,618.189,932.256
35.911,202.681,308.667,246.581,312.736,264.087,291.05,277.649,389.254,632.82,953.932
35.959,209.359,315.688,251.144,319.09,264.087,291.05,281.942,396.664,643.428,977.674
36.016,215.511,316.735,251.144,319.09,269.463,296.437,287.831,406.088,656.006,993.318
36.063,210.88,316.735,253.419,320.631,270.71,296.612,287.604,402.186,653.031,986.72
36.211,212.302,316.144,253.967,320.088,270.327,296.463,286.824,401.43,650.481,1000.387
36.262,213.01,314.893,253.381,319.311,270.327,296.463,287.404,402.726,652.407,992.375
36.311,210.443,315.441,253.381,319.311,269.361,295.471,286.315,401.61,650.595,987.087
36.361,211.095,315.441,252.714,318.569,268.91,294.862,286.038,400.585,651.643,963.856
36.514,210.178,314.5,253.387,319.299,269.406,295.521,286.877,401.817,651.958,1005.424
36.561,210.087,315.666,253.216,319.095,269.406,295.521,286.586,402.195,651.175,975.496
36.613,211.487,314.491,253.216,319.095,269.178,295.329,286.472,401.884,651.316,996.25
36.658,210.842,314.491,253.214,318.721,268.947,294.837,286.053,400.932,650.192,990.668
36.815,208.021,310.309,249.862,313.612,263.34,287.617,281.475,393.114,640.466,979.488
36.861,202.605,307.24,247.275,308.859,263.34,287.617,276.844,383.521,632.015,958.243
36.914,189.3,298.975,247.275,308.859,258.995,282.281,271.138,374.522,621.833,955.567
36.961,179.644,298.975,245.794,303.106,254.215,276.715,266.147,366.279,610.922,935.906
37.111,175.4,287.38,239.018,292.599,245.529,268.208,259.074,355.039,595.717,911.21
37.163,167.946,279.836,237.873,288.664,245.529,268.208,257.319,353.821,590.599,922.598
37.216,160.715,276.587,237.873,288.664,246.095,268.793,257.229,354.516,586.737,913.947
37.263,153.467,276.587,235.849,285.835,243.584,265.586,253.633,347.095,578.367,908.605
